Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-04,10-Q,142.6,145.368,1.94,147.39,3.36
2022-08-04,10-Q,134.984,134.129,-0.63,138.054,2.27
2022-05-06,10-Q,147.124,145.323,-1.22,147.769,0.44
2022-02-18,10-K,137.484,138.944,1.06,141.054,2.6
2021-11-02,10-Q,110.091,111.074,0.89,109.222,-0.79
2021-08-02,10-Q,107.764,108.511,0.69,106.467,-1.2
2021-05-07,10-Q,106.853,107.287,0.41,107.481,0.59
2021-02-19,10-K,95.774,97.644,1.95,98.264,2.6
2020-11-04,10-Q,85.192,84.462,-0.86,88.483,3.86
2020-08-04,10-Q,83.861,82.936,-1.1,82.42,-1.72
2020-05-08,10-Q,73.773,77.235,4.69,79.704,8.04
2020-02-21,10-K,82.212,80.637,-1.92,74.204,-9.74
2019-11-06,10-Q,70.114,70.054,-0.09,74.026,5.58
2019-08-05,10-Q,54.92,54.532,-0.71,54.33,-1.07
2019-05-03,10-Q,65.274,65.73,0.7,64.229,-1.6
2019-02-27,10-K,64.992,64.853,-0.21,63.912,-1.66
2018-11-07,10-Q,70.309,70.932,0.89,71.401,1.55
2018-08-07,10-Q,75.245,74.981,-0.35,76.733,1.98
2018-05-04,10-Q,79.323,78.895,-0.54,82.498,4.0
2018-02-16,10-K,92.954,92.468,-0.52,95.258,2.48
2017-11-07,10-Q,73.118,74.48,1.86,73.733,0.84
2017-08-07,10-Q,55.038,55.231,0.35,54.729,-0.56
2017-05-05,10-Q,51.308,50.711,-1.16,50.596,-1.39
2017-02-17,10-K,46.844,46.889,0.1,47.185,0.73
2016-11-07,10-Q,44.229,44.154,-0.17,47.277,6.89
2016-08-05,10-Q,49.501,49.352,-0.3,49.984,0.98
2016-05-06,10-Q,46.098,46.976,1.9,45.722,-0.82
2016-02-19,10-K,39.655,40.378,1.82,40.904,3.15
2015-11-06,10-Q,46.356,45.705,-1.4,43.269,-6.66
2015-08-07,10-Q,49.148,49.57,0.86,49.169,0.04
2015-05-08,10-Q,46.383,46.354,-0.06,46.916,1.15
2015-02-20,10-K,43.223,42.708,-1.19,42.659,-1.31
2014-11-07,10-Q,43.041,44.644,3.72,44.791,4.07
2014-08-07,10-Q,36.422,36.692,0.74,37.644,3.36
2014-05-09,10-Q,36.03,36.106,0.21,36.492,1.28
2014-02-21,10-K,34.877,34.747,-0.37,34.788,-0.25
2013-11-12,10-Q,32.189,32.44,0.78,32.854,2.06
2013-08-09,10-Q,30.041,30.262,0.74,28.892,-3.82
2013-05-08,10-Q,28.955,29.454,1.72,30.646,5.84
2013-03-15,10-K,25.398,25.173,-0.88,25.708,1.22
2023-02-17,10-K,149.931,150.614,0.46,152.874,1.96
