Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-04-28,10-Q,105.45,N/A,N/A,N/A,N/A
2023-02-03,10-K,103.39,102.18,-1.17,97.61,-5.59
2022-10-28,10-Q,103.41,102.44,-0.94,90.98,-12.02
2022-07-29,10-Q,134.95,135.39,0.33,140.8,4.33
2022-04-29,10-Q,124.282,124.5,0.18,114.772,-7.65
2022-02-04,10-K,157.639,157.936,0.19,153.294,-2.76
2021-10-29,10-Q,168.622,165.906,-1.61,175.949,4.35
2021-07-30,10-Q,166.38,166.574,0.12,167.247,0.52
2021-04-30,10-Q,173.371,169.324,-2.33,164.581,-5.07
2021-02-03,10-K,165.626,166.55,0.56,164.329,-0.78
2020-10-30,10-Q,151.807,150.224,-1.04,165.568,9.06
2020-07-31,10-Q,158.234,155.594,-1.67,158.373,0.09
2020-05-01,10-Q,114.302,115.799,1.31,118.98,4.09
2020-01-31,10-K,100.436,100.21,-0.23,103.964,3.51
2019-10-25,10-Q,88.066,88.854,0.89,89.572,1.71
2019-07-26,10-Q,97.152,95.622,-1.57,91.162,-6.17
2019-04-26,10-Q,97.532,96.922,-0.63,98.123,0.61
2019-02-01,10-K,81.312,81.665,0.44,79.411,-2.34
2018-10-26,10-Q,82.141,76.944,-6.33,83.276,1.38
2018-07-27,10-Q,90.864,88.961,-2.09,91.164,0.33
2018-04-27,10-Q,78.631,78.307,-0.41,79.048,0.53
2018-02-02,10-K,71.497,69.5,-2.79,66.98,-6.32
2017-10-27,10-Q,55.048,55.542,0.9,55.58,0.97
2017-07-28,10-Q,51.002,49.389,-3.16,49.379,-3.18
2017-04-28,10-Q,46.25,47.411,2.51,46.708,0.99
2017-02-10,10-K,41.373,41.826,1.1,42.254,2.13
2016-10-28,10-Q,38.816,39.491,1.74,37.752,-2.74
2016-07-29,10-Q,37.94,38.387,1.18,38.299,0.94
2016-04-29,10-Q,32.979,34.193,3.68,33.697,2.18
2016-01-29,10-K,29.35,28.74,-2.08,25.107,-14.46
2015-10-23,10-Q,29.951,30.431,1.6,31.295,4.49
2015-07-24,10-Q,26.471,26.57,0.38,26.808,1.27
2015-04-24,10-Q,22.255,21.928,-1.47,21.143,-4.99
2015-01-30,10-K,17.726,18.223,2.8,18.714,5.57
2014-10-24,10-Q,14.353,14.498,1.01,15.273,6.41
2014-07-25,10-Q,16.201,16.021,-1.11,15.353,-5.23
2014-04-25,10-Q,15.191,14.829,-2.39,15.401,1.38
2014-01-31,10-K,17.934,17.308,-3.5,18.054,0.67
2013-10-25,10-Q,18.17,17.908,-1.44,17.95,-1.21
2013-07-26,10-Q,15.601,15.305,-1.89,15.21,-2.5
2013-04-26,10-Q,12.741,12.487,-1.99,12.903,1.27
2013-01-30,10-K,13.638,13.275,-2.66,13.111,-3.86
2012-10-26,10-Q,11.912,11.644,-2.25,11.878,-0.29
2012-07-27,10-Q,11.866,11.804,-0.52,11.748,-0.99
2012-04-27,10-Q,11.342,11.595,2.23,11.2,-1.26
2012-02-01,10-K,8.973,9.086,1.26,9.274,3.35
2011-10-26,10-Q,9.92,10.339,4.22,10.781,8.68
2011-07-27,10-Q,11.126,11.195,0.62,10.498,-5.64
2011-04-27,10-Q,9.832,9.753,-0.79,9.998,1.7
2011-01-28,10-K,8.557,8.482,-0.88,8.797,2.8
2010-10-22,10-Q,8.457,8.45,-0.08,8.262,-2.31
2010-07-23,10-Q,5.944,5.92,-0.4,5.894,-0.82
2010-04-23,10-Q,7.181,7.356,2.42,6.855,-4.55
2010-01-29,10-K,6.271,5.944,-5.21,5.87,-6.4
2009-10-23,10-Q,5.924,6.232,5.19,5.94,0.27
2009-07-24,10-Q,4.325,4.212,-2.6,4.288,-0.84
2009-04-24,10-Q,4.223,4.156,-1.59,3.948,-6.51
2009-01-30,10-K,2.941,3.057,3.96,3.328,13.14
2008-10-22,10-Q,2.5,2.516,0.66,2.845,13.8
2008-07-25,10-Q,3.915,3.799,-2.98,3.787,-3.27
2008-04-25,10-Q,4.043,4.098,1.37,3.865,-4.39
2008-02-11,10-K,3.76,3.723,-0.98,3.604,-4.14
2007-10-25,10-Q,4.411,4.5,2.03,4.383,-0.63
2007-07-26,10-Q,4.201,4.202,0.04,3.986,-5.12
2007-04-26,10-Q,3.139,3.13,-0.29,3.109,-0.94
2007-02-16,10-K,2.016,2.076,2.93,2.044,1.36
