Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-07,10-Q,71.1,72.0,1.27,73.96,4.02
2022-08-01,10-Q,80.08,79.32,-0.95,81.0,1.15
2022-05-03,10-Q,78.78,79.24,0.58,76.92,-2.36
2022-02-25,10-K,80.959,81.018,0.07,80.949,-0.01
2021-11-02,10-Q,77.211,66.356,-14.06,66.704,-13.61
2021-08-03,10-Q,79.358,81.038,2.12,82.5,3.96
2021-05-04,10-Q,88.166,89.548,1.57,94.777,7.5
2021-02-23,10-K,95.388,94.666,-0.76,95.715,0.34
2020-10-29,10-Q,76.938,74.92,-2.62,79.283,3.05
2020-08-04,10-Q,85.525,83.418,-2.46,78.273,-8.48
2020-05-05,10-Q,67.797,72.09,6.33,71.477,5.43
2020-02-27,10-K,57.329,57.132,-0.34,60.464,5.47
2019-11-07,10-Q,53.614,53.368,-0.46,51.796,-3.39
2019-08-08,10-Q,48.483,47.235,-2.57,44.729,-7.74
2019-05-02,10-Q,48.7,46.341,-4.84,45.84,-5.87
2019-02-28,10-K,41.087,41.769,1.66,40.385,-1.71
2018-11-08,10-Q,61.221,53.635,-12.39,52.221,-14.7
2018-08-02,10-Q,72.209,69.537,-3.7,68.738,-4.81
2018-05-03,10-Q,65.15,68.094,4.52,71.078,9.1
2018-02-27,10-K,70.432,70.936,0.72,71.703,1.8
2017-11-02,10-Q,63.487,61.304,-3.44,61.411,-3.27
2017-08-03,10-Q,62.051,60.15,-3.06,58.404,-5.88
2017-05-04,10-Q,51.507,52.215,1.37,54.078,4.99
2017-02-28,10-K,43.51,45.448,4.45,46.335,6.49
2016-11-04,10-Q,40.203,39.615,-1.46,37.995,-5.49
2016-08-04,10-Q,39.364,39.104,-0.66,39.827,1.18
2016-05-09,10-Q,35.816,35.103,-1.99,37.976,6.03
2016-02-29,10-K,30.287,30.803,1.71,29.627,-2.18
2015-11-06,10-Q,33.471,32.563,-2.71,33.079,-1.17
2015-08-04,10-Q,24.549,27.456,11.84,27.217,10.87
2015-05-06,10-Q,22.187,23.344,5.22,23.554,6.16
2015-02-26,10-K,22.104,22.075,-0.13,22.047,-0.26
2014-11-04,10-Q,18.885,19.718,4.41,19.51,3.31
2014-08-05,10-Q,21.167,21.725,2.64,21.593,2.01
2014-05-06,10-Q,18.279,19.889,8.8,19.406,6.16
2014-03-03,10-K,18.302,18.48,0.97,19.024,3.94
2013-11-06,10-Q,15.499,15.789,1.88,16.239,4.78
2013-08-01,10-Q,17.065,16.952,-0.66,16.408,-3.85
2013-05-08,10-Q,14.308,13.492,-5.7,13.97,-2.36
2013-02-22,10-K,13.428,13.262,-1.24,13.28,-1.1
2012-11-07,10-Q,10.3,10.18,-1.17,9.893,-3.95
2012-08-02,10-Q,10.893,10.291,-5.52,10.782,-1.02
2012-05-09,10-Q,11.476,11.79,2.74,11.457,-0.16
2012-02-28,10-K,11.002,10.902,-0.91,10.701,-2.74
2011-11-09,10-Q,11.878,11.841,-0.31,11.203,-5.68
2011-08-05,10-Q,10.427,9.944,-4.64,9.771,-6.3
2011-05-09,10-Q,10.519,10.592,0.69,10.3,-2.08
2011-02-25,10-K,9.984,9.993,0.09,10.128,1.44
2010-11-05,10-Q,10.155,10.676,5.13,10.335,1.77
2010-08-06,10-Q,9.876,9.867,-0.09,9.768,-1.09
2010-05-07,10-Q,9.49,9.786,3.13,9.607,1.23
2010-03-01,10-K,9.831,9.715,-1.19,9.984,1.55
2009-11-06,10-Q,9.974,10.231,2.58,10.364,3.91
2009-08-07,10-Q,11.047,10.949,-0.88,11.251,1.85
2009-05-08,10-Q,10.47,10.196,-2.62,10.284,-1.78
2009-02-27,10-K,8.892,8.777,-1.3,9.158,2.99
