Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-02,10-Q,1778.18,1825.73,2.67,1865.82,4.93
2022-08-03,10-Q,1966.48,1947.25,-0.98,2023.69,2.91
2022-05-04,10-Q,2103.33,2171.91,3.26,2072.15,-1.48
2022-02-23,10-K,2469.83,2295.0,-7.08,2163.52,-12.4
2021-11-03,10-Q,2435.33,2437.01,0.07,2569.78,5.52
2021-08-04,10-Q,2085.64,2207.71,5.85,2200.22,5.49
2021-05-05,10-Q,2337.92,2279.35,-2.51,2172.25,-7.09
2021-02-24,10-K,2443.5,2273.2,-6.97,2275.0,-6.9
2020-11-05,10-Q,1768.31,1783.75,0.87,1962.92,11.01
2020-08-06,10-Q,1751.79,1754.48,0.15,1792.97,2.35
2020-05-07,10-Q,1443.91,1430.83,-0.91,1382.51,-4.25
2020-02-26,10-K,1678.2,1659.85,-1.09,1732.13,3.21
2019-11-07,10-Q,1849.93,1879.19,1.58,1865.55,0.84
2019-08-07,10-Q,1821.56,1941.01,6.56,1891.19,3.82
2019-05-09,10-Q,1736.03,1829.85,5.4,1803.31,3.88
2019-02-27,10-K,1906.0,1697.04,-10.96,1751.62,-8.1
2018-11-05,10-Q,1871.12,1949.46,4.19,1906.28,1.88
2018-08-09,10-Q,1942.39,1897.66,-2.3,1824.99,-6.04
2018-05-09,10-Q,2183.59,2080.02,-4.74,2074.59,-4.99
2018-02-27,10-K,1905.01,2034.04,6.77,2085.51,9.48
2017-11-07,10-Q,1645.72,1661.11,0.94,1719.5,4.48
2017-08-08,10-Q,2049.0,1906.8,-6.94,1860.84,-9.18
2017-05-09,10-Q,1911.13,1824.77,-4.52,1829.8,-4.26
2017-02-27,10-K,1632.01,1724.13,5.64,1730.21,6.02
2016-11-07,10-Q,1480.33,1578.13,6.61,1489.18,0.6
2016-08-04,10-Q,1359.99,1414.22,3.99,1406.92,3.45
2016-05-04,10-Q,1253.04,1240.85,-0.97,1267.31,1.14
2016-02-17,10-K,1235.56,1251.95,1.33,1264.21,2.32
2015-11-09,10-Q,1311.15,1323.54,0.94,1266.87,-3.38
