Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-07,10-Q,290.19,292.61,0.83,308.91,6.45
2022-08-08,10-Q,292.34,292.77,0.15,302.82,3.58
2022-05-02,10-Q,318.19,318.99,0.25,312.96,-1.64
2022-02-28,10-K,321.45,316.84,-1.43,322.72,0.4
2021-11-08,10-Q,288.8,286.35,-0.85,284.67,-1.43
2021-08-09,10-Q,287.23,288.94,0.6,289.45,0.77
2021-05-03,10-Q,279.18,280.26,0.39,292.33,4.71
2021-03-01,10-K,249.21,249.22,0.0,257.61,3.37
2020-11-09,10-Q,221.5,228.48,3.15,233.1,5.24
2020-08-10,10-Q,212.58,212.66,0.04,206.78,-2.73
2020-05-04,10-Q,177.95,176.03,-1.08,174.64,-1.86
2020-02-24,10-K,221.69,218.05,-1.64,217.63,-1.83
2019-11-04,10-Q,217.98,220.88,1.33,220.85,1.32
2019-08-05,10-Q,197.73,200.55,1.43,197.18,-0.28
2019-05-06,10-Q,213.16,209.43,-1.75,205.01,-3.82
2019-02-25,10-K,202.31,201.9,-0.2,201.81,-0.25
2018-11-05,10-Q,216.24,218.51,1.05,215.42,-0.38
2018-08-06,10-Q,206.06,208.72,1.29,205.17,-0.43
2018-05-07,10-Q,197.06,196.24,-0.42,199.18,1.08
2018-02-26,10-K,210.62,209.66,-0.46,203.24,-3.5
2017-11-03,10-Q,187.27,186.68,-0.32,183.68,-1.92
2017-08-04,10-Q,179.92,178.04,-1.04,175.34,-2.55
2017-05-05,10-Q,166.55,165.02,-0.92,163.32,-1.94
2017-02-27,10-K,170.63,171.42,0.46,175.4,2.8
2016-11-04,10-Q,142.95,146.91,2.77,156.92,9.77
2016-08-05,10-Q,145.65,145.56,-0.06,147.72,1.42
2016-05-06,10-Q,144.62,142.91,-1.18,141.4,-2.23
2016-02-29,10-K,134.17,136.94,2.06,138.72,3.39
2015-11-06,10-Q,136.33,134.0,-1.71,131.96,-3.21
2015-08-07,10-Q,143.55,143.42,-0.09,142.57,-0.68
2015-05-01,10-Q,143.36,146.15,1.95,148.31,3.45
2015-03-02,10-K,147.08,145.93,-0.78,146.13,-0.65
2014-11-07,10-Q,143.61,145.05,1.0,145.52,1.33
2014-08-01,10-Q,125.83,129.72,3.09,130.9,4.03
2014-05-02,10-Q,128.09,126.61,-1.16,127.34,-0.59
2014-03-03,10-K,116.06,118.57,2.16,124.1,6.93
2013-11-01,10-Q,115.27,114.87,-0.35,115.88,0.53
2013-08-02,10-Q,117.82,118.23,0.35,116.71,-0.94
2013-05-03,10-Q,108.64,110.0,1.25,111.82,2.93
2013-03-01,10-K,102.05,101.95,-0.1,103.63,1.55
2012-11-02,10-Q,86.93,86.86,-0.08,85.18,-2.01
2012-08-03,10-Q,85.58,85.15,-0.5,84.77,-0.95
2012-05-04,10-Q,80.94,82.47,1.89,81.6,0.82
2012-02-27,10-K,80.25,79.44,-1.01,79.17,-1.35
2011-11-04,10-Q,77.24,77.1,-0.18,76.97,-0.35
2011-08-05,10-Q,71.25,66.65,-6.46,71.52,0.38
2011-05-06,10-Q,80.21,80.73,0.65,79.65,-0.7
2011-02-28,10-K,87.28,85.25,-2.33,85.04,-2.57
2010-11-05,10-Q,83.72,82.32,-1.67,80.25,-4.14
2010-08-06,10-Q,80.47,80.7,0.29,76.78,-4.59
2010-05-07,10-Q,74.41,78.23,5.13,76.23,2.45
2010-03-01,10-K,81.91,80.77,-1.39,82.79,1.07
2009-11-06,10-Q,68.5,68.5,0.0,68.22,-0.41
2009-08-07,10-Q,70.8,67.8,-4.24,66.58,-5.96
2009-05-08,10-Q,62.64,59.2,-5.49,58.0,-7.41
2009-03-02,10-K,48.88,47.4,-3.03,46.2,-5.48
2008-11-07,10-Q,73.72,70.78,-3.99,67.78,-8.06
2008-08-08,10-Q,76.96,78.2,1.61,80.0,3.95
2008-05-02,10-Q,88.96,86.67,-2.57,83.58,-6.05
2008-02-29,10-K,93.49,90.18,-3.54,89.24,-4.55
2007-11-02,10-Q,88.04,88.74,0.8,88.66,0.7
2007-08-03,10-Q,71.98,73.4,1.97,72.5,0.72
2007-05-04,10-Q,72.62,73.58,1.32,73.36,1.02
2007-03-01,10-K,71.08,71.24,0.23,72.66,2.22
2006-11-03,10-Q,70.02,71.74,2.46,71.4,1.97
2006-08-07,10-Q,61.7,61.9,0.32,61.6,-0.16
2006-05-05,10-Q,58.9,59.08,0.31,59.6,1.19
