Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,178.165,180.417,1.26,178.332,0.09
2022-08-04,10-Q,147.327,149.764,1.65,155.593,5.61
2022-05-04,10-Q,162.029,160.743,-0.79,157.746,-2.64
2022-02-24,10-K,130.375,135.722,4.1,151.036,15.85
2021-11-04,10-Q,107.362,108.526,1.08,107.977,0.57
2021-08-05,10-Q,94.474,95.146,0.71,95.79,1.39
2021-05-06,10-Q,100.513,101.435,0.92,98.356,-2.15
2021-02-25,10-K,94.364,92.197,-2.3,96.346,2.1
2020-11-05,10-Q,64.633,63.746,-1.37,72.275,11.82
2020-08-05,10-Q,77.016,77.254,0.31,80.124,4.04
2020-05-06,10-Q,78.382,80.636,2.88,77.207,-1.5
2020-02-21,10-K,94.885,91.142,-3.94,81.246,-14.37
2019-11-07,10-Q,103.847,103.03,-0.79,103.907,0.06
2019-08-07,10-Q,100.438,103.921,3.47,99.291,-1.14
2019-05-02,10-Q,97.188,97.931,0.76,101.205,4.13
2019-02-22,10-K,99.702,99.894,0.19,101.906,2.21
2018-11-08,10-Q,97.729,97.852,0.13,96.692,-1.06
2018-08-02,10-Q,100.37,100.605,0.23,99.372,-0.99
2018-05-03,10-Q,101.311,100.925,-0.38,103.57,2.23
2018-02-22,10-K,88.351,90.521,2.46,90.079,1.96
2017-11-02,10-Q,90.959,90.691,-0.29,92.465,1.66
2017-08-03,10-Q,85.447,85.978,0.62,85.978,0.62
2017-05-04,10-Q,81.016,81.773,0.94,82.098,1.34
2017-02-23,10-K,85.816,85.12,-0.81,87.625,2.11
2016-11-03,10-Q,79.892,79.429,-0.58,81.711,2.28
2016-08-04,10-Q,75.308,75.398,0.12,76.066,1.01
2016-05-05,10-Q,75.285,75.611,0.43,75.804,0.69
2016-02-25,10-K,63.319,62.614,-1.11,64.974,2.61
2015-11-06,10-Q,68.093,66.855,-1.82,64.219,-5.69
2015-08-05,10-Q,60.094,60.924,1.38,62.068,3.28
2015-05-07,10-Q,76.17,76.935,1.0,76.793,0.82
2015-02-20,10-K,76.899,76.375,-0.68,75.54,-1.77
2014-11-07,10-Q,82.538,81.927,-0.74,81.565,-1.18
2014-08-06,10-Q,86.617,86.562,-0.06,87.905,1.49
2014-05-02,10-Q,85.194,85.631,0.51,85.405,0.25
2014-02-21,10-K,76.969,77.974,1.3,78.78,2.35
2013-11-08,10-Q,81.37,81.296,-0.09,81.289,-0.1
2013-08-07,10-Q,82.129,81.956,-0.21,81.276,-1.04
2013-05-02,10-Q,80.62,81.577,1.19,81.676,1.31
2013-02-22,10-K,76.603,75.004,-2.09,77.224,0.81
2012-11-06,10-Q,71.722,69.87,-2.58,68.421,-4.6
2012-08-02,10-Q,70.437,71.642,1.71,72.616,3.09
2012-05-03,10-Q,67.725,66.275,-2.14,66.045,-2.48
2012-02-23,10-K,69.233,69.7,0.67,70.134,1.3
2011-11-03,10-Q,66.771,66.96,0.28,66.375,-0.59
2011-08-04,10-Q,60.442,60.923,0.8,58.713,-2.86
2011-05-05,10-Q,63.558,63.719,0.25,63.645,0.14
2011-02-24,10-K,63.193,63.236,0.07,64.531,2.12
2010-11-05,10-Q,51.797,51.687,-0.21,52.077,0.54
2010-08-05,10-Q,47.748,47.543,-0.43,46.54,-2.53
