Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-02-08,10-Q,111.78,110.36,-1.27,109.24,-2.27
2022-11-29,10-K,94.69,97.87,3.36,92.29,-2.53
2022-08-10,10-Q,112.43,117.69,4.68,122.81,9.23
2022-05-11,10-Q,105.21,104.31,-0.86,104.3,-0.86
2022-02-09,10-Q,147.23,152.16,3.35,156.35,6.19
2021-11-24,10-K,151.34,148.11,-2.13,147.2,-2.74
2021-08-12,10-Q,179.29,181.08,1.0,173.25,-3.37
2021-05-13,10-Q,178.34,173.7,-2.6,171.36,-3.91
2021-02-11,10-Q,190.91,187.67,-1.7,183.65,-3.8
2020-11-25,10-K,149.09,147.13,-1.31,153.24,2.78
2020-08-04,10-Q,117.29,127.61,8.8,130.49,11.25
2020-05-05,10-Q,101.06,100.88,-0.18,104.56,3.46
2020-02-04,10-Q,144.73,141.37,-2.32,141.01,-2.57
2019-11-20,10-K,146.055,146.025,-0.02,150.578,3.1
2019-08-06,10-Q,141.025,134.057,-4.94,136.194,-3.43
2019-05-08,10-Q,133.36,131.977,-1.04,133.054,-0.23
