Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,344.133,353.05,2.59,373.173,8.44
2022-08-04,10-Q,324.911,327.652,0.84,344.305,5.97
2022-05-02,10-Q,302.061,306.186,1.37,300.572,-0.49
2022-02-25,10-K,338.695,330.153,-2.52,320.792,-5.29
2021-11-01,10-Q,400.986,407.867,1.72,392.942,-2.01
2021-08-04,10-Q,361.853,368.02,1.7,396.356,9.54
2021-05-04,10-Q,333.892,341.317,2.22,343.513,2.88
2021-02-22,10-K,301.242,303.466,0.74,314.88,4.53
2020-11-02,10-Q,179.839,187.148,4.06,203.222,13.0
2020-08-07,10-Q,195.74,196.783,0.53,195.458,-0.14
2020-05-01,10-Q,165.411,164.412,-0.6,173.154,4.68
2020-02-21,10-K,214.089,208.445,-2.64,187.519,-12.41
2019-11-01,10-Q,200.676,202.966,1.14,205.772,2.54
2019-08-05,10-Q,185.013,188.985,2.15,184.866,-0.08
2019-05-06,10-Q,188.521,185.05,-1.84,178.055,-5.55
2019-02-26,10-K,180.913,180.913,0.0,178.996,-1.06
2018-11-02,10-Q,208.076,207.198,-0.42,201.699,-3.06
2018-08-03,10-Q,211.362,213.024,0.79,207.317,-1.91
2018-05-04,10-Q,211.382,213.416,0.96,218.562,3.4
2018-02-26,10-K,243.377,240.39,-1.23,236.737,-2.73
2017-11-03,10-Q,218.591,217.778,-0.37,214.79,-1.74
2017-08-04,10-Q,204.825,207.615,1.36,199.797,-2.45
2017-05-04,10-Q,201.295,201.543,0.12,199.669,-0.81
2017-02-27,10-K,220.919,220.368,-0.25,223.877,1.34
2016-11-03,10-Q,155.648,155.392,-0.16,177.431,13.99
2016-08-04,10-Q,139.064,142.618,2.56,144.176,3.68
2016-05-06,10-Q,139.197,138.023,-0.84,136.121,-2.21
2016-02-22,10-K,129.817,126.432,-2.61,131.03,0.93
2015-11-03,10-Q,165.807,166.642,0.5,171.998,3.73
2015-08-03,10-Q,177.369,177.785,0.23,178.478,0.63
2015-05-05,10-Q,170.425,169.526,-0.53,173.224,1.64
2015-02-23,10-K,163.881,165.526,1.0,165.674,1.09
2014-11-05,10-Q,162.956,163.952,0.61,163.248,0.18
2014-08-07,10-Q,144.704,147.408,1.87,147.81,2.15
2014-05-09,10-Q,134.064,136.068,1.49,133.407,-0.49
2014-02-28,10-K,141.952,140.494,-1.03,148.613,4.69
2013-11-07,10-Q,135.242,138.233,2.21,138.258,2.23
2013-08-08,10-Q,137.503,136.904,-0.44,135.738,-1.28
2013-05-09,10-Q,125.033,125.504,0.38,130.025,3.99
2013-03-01,10-K,126.708,128.097,1.1,128.77,1.63
2012-11-08,10-Q,96.291,97.026,0.76,96.433,0.15
2012-08-09,10-Q,86.164,85.682,-0.56,86.072,-0.11
2012-05-10,10-Q,88.005,84.537,-3.94,80.357,-8.69
2012-02-28,10-K,96.937,95.306,-1.68,94.089,-2.94
2011-11-09,10-Q,81.935,81.796,-0.17,78.59,-4.08
2011-08-09,10-Q,100.588,90.433,-10.1,95.785,-4.77
2011-05-10,10-Q,122.95,120.889,-1.68,115.11,-6.38
2011-03-01,10-K,131.868,132.179,0.24,131.86,-0.01
2010-11-09,10-Q,135.565,136.11,0.4,134.384,-0.87
2010-08-09,10-Q,126.172,124.954,-0.97,119.969,-4.92
2010-05-10,10-Q,116.487,114.981,-1.29,115.523,-0.83
2010-03-01,10-K,126.781,128.571,1.41,137.552,8.5
2009-11-04,10-Q,136.678,139.823,2.3,145.024,6.11
2009-08-05,10-Q,135.691,134.171,-1.12,131.765,-2.89
2009-05-06,10-Q,111.732,107.326,-3.94,103.738,-7.15
2009-01-27,10-K,62.467,70.002,12.06,66.099,5.81
2008-10-08,10-Q,89.922,80.651,-10.31,90.041,0.13
2008-07-07,10-Q,134.875,138.91,2.99,126.02,-6.57
2008-04-09,10-Q,138.05,135.204,-2.06,134.015,-2.92
