Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,10.8,10.79,-0.09,11.02,2.04
2022-08-04,10-Q,15.05,14.89,-1.06,15.12,0.47
2022-05-05,10-Q,15.43,14.01,-9.2,13.02,-15.62
2022-02-22,10-K,16.31,15.04,-7.79,20.01,22.69
2021-11-03,10-Q,23.28,21.44,-7.9,21.63,-7.09
2021-08-03,10-Q,27.11,23.83,-12.1,24.59,-9.3
2021-05-05,10-Q,25.2,26.75,6.15,24.35,-3.37
2021-02-25,10-K,28.51,27.5,-3.54,25.09,-12.0
2020-10-29,10-Q,19.38,18.89,-2.53,20.04,3.41
2020-08-04,10-Q,18.63,19.35,3.86,19.29,3.54
2020-05-07,10-Q,14.96,17.26,15.37,15.52,3.74
2020-02-24,10-K,19.31,15.0,-22.32,16.2,-16.11
2019-11-05,10-Q,17.95,18.56,3.4,19.35,7.8
2019-07-31,10-Q,24.65,21.21,-13.96,19.09,-22.56
2019-05-08,10-Q,16.01,17.81,11.24,20.46,27.8
2019-02-28,10-K,17.19,16.71,-2.79,16.39,-4.65
2018-11-06,10-Q,13.19,14.97,13.5,15.1,14.48
2018-08-02,10-Q,12.92,12.4,-4.02,13.06,1.08
2018-05-10,10-Q,10.61,11.4,7.45,10.99,3.58
2018-02-28,10-K,12.05,11.04,-8.38,11.32,-6.06
2017-11-02,10-Q,11.98,10.99,-8.26,10.69,-10.77
2017-07-27,10-Q,12.22,11.12,-9.0,11.08,-9.33
2017-05-04,10-Q,7.67,9.08,18.38,9.43,22.95
2017-02-27,10-K,8.76,8.25,-5.82,7.4,-15.53
2016-11-02,10-Q,5.43,6.0,10.5,6.23,14.73
2016-08-04,10-Q,4.55,5.38,18.24,5.89,29.45
2016-05-04,10-Q,5.33,4.5,-15.57,4.23,-20.64
2016-03-11,10-K,4.19,4.42,5.49,4.55,8.59
2015-11-06,10-Q,4.88,5.04,3.28,4.68,-4.1
2015-08-06,10-Q,5.64,5.11,-9.4,4.82,-14.54
2015-05-07,10-Q,5.39,5.36,-0.56,5.8,7.61
2015-03-13,10-K,5.44,5.32,-2.21,5.82,6.99
2014-11-07,10-Q,5.83,5.49,-5.83,5.4,-7.38
2014-08-07,10-Q,7.22,7.5,3.88,7.83,8.45
2014-04-30,10-Q,7.22,7.35,1.8,7.4,2.49
2014-03-12,10-K,7.56,7.31,-3.31,7.62,0.79
2013-11-07,10-Q,8.05,7.17,-10.93,6.79,-15.65
2013-08-08,10-Q,6.68,6.77,1.35,6.73,0.75
2013-05-09,10-Q,5.57,5.31,-4.67,5.79,3.95
2013-03-12,10-K,4.48,4.24,-5.36,5.0,11.61
2012-11-08,10-Q,5.26,4.59,-12.74,4.32,-17.87
2012-08-02,10-Q,5.47,5.04,-7.86,5.27,-3.66
2012-05-03,10-Q,5.52,5.11,-7.43,4.99,-9.6
2012-03-07,10-K,5.93,6.69,12.82,6.19,4.38
2011-11-04,10-Q,5.65,5.62,-0.53,5.77,2.12
2011-08-04,10-Q,9.58,8.57,-10.54,8.52,-11.06
2011-05-06,10-Q,13.02,13.36,2.61,13.01,-0.08
2011-03-02,10-K,14.34,14.28,-0.42,13.89,-3.14
2010-11-05,10-Q,11.79,11.64,-1.27,10.94,-7.21
2010-08-06,10-Q,11.6,11.99,3.36,10.8,-6.9
2010-04-29,10-Q,14.59,14.25,-2.33,13.78,-5.55
2010-03-11,10-K,13.06,13.74,5.21,13.99,7.12
2009-11-03,10-Q,10.8,10.78,-0.19,10.11,-6.39
2009-08-06,10-Q,8.9,8.0,-10.11,8.4,-5.62
2009-05-12,10-Q,8.1,7.1,-12.35,8.2,1.23
2009-03-10,10-K,7.8,7.8,0.0,9.3,19.23
2008-11-06,10-Q,14.0,14.0,0.0,13.7,-2.14
2008-08-07,10-Q,17.7,18.7,5.65,18.6,5.08
2008-05-08,10-Q,17.9,17.6,-1.68,17.5,-2.23
2008-03-27,10-K,18.2,18.2,0.0,18.4,1.1
2007-11-09,10-Q,24.5,23.0,-6.12,19.1,-22.04
2007-10-05,10-Q,27.3,26.2,-4.03,27.1,-0.73
2007-10-05,10-Q,27.3,26.2,-4.03,27.1,-0.73
2007-09-11,10-K,25.7,22.6,-12.06,25.9,0.78
2006-11-09,10-Q,23.1,22.6,-2.16,24.4,5.63
2006-08-09,10-Q,20.9,21.6,3.35,20.0,-4.31
2006-05-10,10-Q,36.7,36.3,-1.09,36.4,-0.82
2006-04-03,10-K,39.2,38.7,-1.28,38.2,-2.55
2005-11-09,10-Q,55.7,55.5,-0.36,55.3,-0.72
2005-08-10,10-Q,52.4,52.9,0.95,50.2,-4.2
2005-05-11,10-Q,52.9,53.3,0.76,53.4,0.95
2005-03-31,10-K,62.5,61.1,-2.24,64.3,2.88
2004-11-10,10-Q,84.0,85.8,2.14,85.0,1.19
2004-09-20,10-Q,65.6,68.1,3.81,68.6,4.57
2004-05-10,10-Q,92.7,96.6,4.21,94.9,2.37
2004-03-08,10-K,122.2,122.5,0.25,110.5,-9.57
2003-11-05,10-Q,182.4,155.8,-14.58,140.9,-22.75
2003-08-08,10-Q,131.3,134.1,2.13,142.8,8.76
2003-05-09,10-Q,87.9,85.9,-2.28,93.3,6.14
2003-03-21,10-K,60.4,57.9,-4.14,57.6,-4.64
2002-11-13,10-Q,48.3,49.5,2.48,54.1,12.01
2002-08-13,10-Q,42.8,42.8,0.0,49.0,14.49
2002-05-15,10-Q,51.2,53.3,4.1,53.0,3.52
2002-03-19,10-K,53.3,51.6,-3.19,54.8,2.81
2001-11-13,10-Q,53.8,55.3,2.79,52.9,-1.67
2001-08-10,10-Q,96.3,85.2,-11.53,77.6,-19.42
2001-05-15,10-Q,63.6,61.6,-3.14,62.4,-1.89
2001-03-29,10-K,63.438,41.25,-34.98,40.312,-36.45
2000-11-14,10-Q,488.75,511.25,4.6,430.0,-12.02
2000-08-14,10-Q,526.875,564.375,7.12,591.25,12.22
2000-05-15,10-Q,538.75,541.875,0.58,421.25,-21.81
