Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-23,10-Q,208.895,208.846,-0.02,213.31,2.11
2022-08-25,10-Q,207.706,197.89,-4.73,192.74,-7.21
2022-05-26,10-Q,191.426,195.44,2.1,191.348,-0.04
2022-03-21,10-K,221.925,222.773,0.38,208.45,-6.07
2021-11-24,10-Q,245.521,240.72,-1.96,243.344,-0.89
2021-08-26,10-Q,199.142,199.384,0.12,199.626,0.24
2021-05-27,10-Q,186.86,187.882,0.55,183.138,-1.99
2021-03-22,10-K,174.888,173.455,-0.82,181.359,3.7
2020-11-25,10-Q,148.396,148.195,-0.14,145.608,-1.88
2020-08-26,10-Q,162.697,158.802,-2.39,162.793,0.06
2020-05-28,10-Q,121.869,123.99,1.74,122.402,0.44
2020-03-23,10-K,64.119,73.103,14.01,83.894,30.84
2019-12-04,10-Q,108.701,108.814,0.1,110.772,1.91
2019-09-03,10-Q,104.157,104.85,0.67,107.998,3.69
2019-06-03,10-Q,87.441,90.227,3.19,89.742,2.63
2019-04-02,10-K,101.982,103.856,1.84,104.979,2.94
2018-12-06,10-Q,83.963,82.532,-1.7,87.046,3.67
2018-09-04,10-Q,100.99,99.593,-1.38,104.894,3.87
2018-06-05,10-Q,89.146,90.051,1.02,91.889,3.08
2018-04-02,10-K,76.966,77.748,1.02,77.557,0.77
2017-12-05,10-Q,78.23,74.686,-4.53,77.034,-1.53
2017-09-05,10-Q,68.246,69.86,2.37,70.933,3.94
2017-06-06,10-Q,70.575,69.759,-1.16,71.427,1.21
2017-04-04,10-K,72.86,72.886,0.04,73.592,1.01
2016-11-29,10-Q,62.836,62.694,-0.23,64.391,2.47
2016-09-02,10-Q,68.054,67.214,-1.23,64.111,-5.8
2016-05-31,10-Q,70.554,70.677,0.17,70.034,-0.74
2016-03-29,10-K,66.386,66.693,0.46,66.561,0.26
2015-12-02,10-Q,66.67,65.639,-1.55,66.513,-0.24
2015-09-01,10-Q,58.972,60.094,1.9,59.285,0.53
2015-06-02,10-Q,60.807,61.241,0.71,59.403,-2.31
2015-03-31,10-K,64.278,64.278,0.0,64.641,0.56
2014-12-02,10-Q,55.083,55.367,0.52,56.693,2.92
2014-09-02,10-Q,45.103,45.36,0.57,45.463,0.8
2014-06-03,10-Q,40.287,40.245,-0.11,40.603,0.78
2014-03-31,10-K,41.56,42.011,1.08,39.75,-4.36
2013-12-03,10-Q,39.373,39.677,0.77,40.101,1.85
2013-09-03,10-Q,38.473,38.777,0.79,39.772,3.38
2013-06-04,10-Q,34.436,33.268,-3.39,34.352,-0.24
2013-04-02,10-K,31.806,31.681,-0.39,32.517,2.24
2012-12-04,10-Q,29.67,29.32,-1.18,29.003,-2.25
2012-09-04,10-Q,23.565,23.291,-1.16,23.706,0.6
2012-06-06,10-Q,22.636,22.809,0.76,22.142,-2.18
2012-04-02,10-K,25.734,25.48,-0.99,24.873,-3.35
2011-12-01,10-Q,19.472,19.831,1.84,20.296,4.23
2011-08-30,10-Q,16.23,16.149,-0.5,15.93,-1.85
2011-05-31,10-Q,19.441,19.103,-1.74,18.515,-4.76
2011-03-29,10-K,21.6,21.632,0.15,21.479,-0.56
2010-12-01,10-Q,18.964,19.898,4.93,20.489,8.04
2010-08-31,10-Q,16.11,16.873,4.73,17.111,6.21
2010-06-02,10-Q,19.301,19.308,0.04,18.392,-4.71
2010-03-30,10-K,19.164,19.085,-0.41,19.88,3.74
2009-12-01,10-Q,17.709,17.764,0.31,17.811,0.58
2009-09-01,10-Q,16.291,16.291,0.0,16.963,4.12
2009-06-01,10-Q,15.688,16.007,2.03,15.633,-0.35
2009-03-31,10-K,14.127,14.305,1.26,14.405,1.97
2008-12-02,10-Q,15.224,16.388,7.65,17.027,11.85
2008-09-03,10-Q,20.497,19.776,-3.52,19.362,-5.54
2008-06-04,10-Q,18.363,18.806,2.41,17.454,-4.95
2008-04-01,10-K,18.644,18.713,0.37,18.287,-1.92
2007-12-12,10-Q,17.769,17.503,-1.49,17.314,-2.56
2007-09-05,10-Q,22.822,22.844,0.1,22.497,-1.42
2007-06-06,10-Q,24.239,23.922,-1.31,23.801,-1.8
2007-04-03,10-K,23.869,23.621,-1.04,23.508,-1.51
2006-12-06,10-Q,23.789,23.21,-2.43,22.969,-3.45
2006-09-07,10-Q,20.334,20.447,0.55,22.016,8.27
2006-06-14,10-Q,23.328,23.651,1.38,23.156,-0.74
2006-04-07,10-K,24.474,24.392,-0.34,23.771,-2.88
2005-12-07,10-Q,25.364,25.42,0.22,25.892,2.08
2005-09-01,10-Q,24.148,24.002,-0.6,25.437,5.34
2005-06-08,10-Q,22.046,21.952,-0.42,22.079,0.15
2005-04-13,10-K,20.083,19.721,-1.8,19.221,-4.29
2004-12-07,10-Q,21.373,21.638,1.24,21.578,0.96
2004-09-03,10-Q,19.496,19.663,0.86,19.876,1.95
2004-06-04,10-Q,20.233,20.828,2.94,20.099,-0.66
2004-04-08,10-K,19.898,20.013,0.58,19.812,-0.43
2003-12-09,10-Q,20.771,20.243,-2.54,19.909,-4.15
2003-09-12,10-Q,19.115,19.579,2.43,20.025,4.76
2003-06-13,10-Q,16.394,16.773,2.31,16.412,0.11
2003-04-15,10-K,16.869,16.598,-1.61,16.769,-0.59
2002-12-10,10-Q,15.057,14.753,-2.02,14.39,-4.43
2002-09-13,10-Q,16.67,16.855,1.11,15.713,-5.74
2002-06-13,10-Q,17.343,17.354,0.06,16.524,-4.72
2002-04-26,10-K,15.883,15.768,-0.72,16.157,1.73
2001-12-17,10-Q,16.971,16.942,-0.17,17.538,3.34
2001-09-14,10-Q,10.499,10.695,1.87,10.891,3.74
2001-06-15,10-Q,13.381,13.782,3.0,14.235,6.38
2000-12-08,10-Q,7.361,7.719,4.86,7.581,2.98
2000-09-08,10-Q,9.569,9.546,-0.24,8.889,-7.11
2000-06-09,10-Q,7.995,7.765,-2.88,7.926,-0.86
2023-03-27,10-K,189.582,189.204,-0.2,202.975,7.06
