Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-04-27,10-Q,73.82,76.72,3.93,N/A,N/A
2023-02-03,10-K,65.549,65.808,0.39,65.142,-0.62
2022-11-01,10-Q,61.177,61.879,1.15,63.204,3.31
2022-07-26,10-Q,61.823,62.501,1.1,63.611,2.89
2022-04-26,10-Q,62.547,62.556,0.02,63.182,1.01
2022-02-04,10-K,65.094,65.541,0.69,64.783,-0.48
2021-11-02,10-Q,59.282,60.229,1.6,60.132,1.43
2021-07-27,10-Q,62.645,60.888,-2.81,60.869,-2.84
2021-04-28,10-Q,58.176,58.205,0.05,58.425,0.43
2021-02-05,10-K,53.433,53.252,-0.34,52.463,-1.81
2020-11-03,10-Q,51.452,51.944,0.96,53.977,4.91
2020-07-29,10-Q,53.396,52.437,-1.8,51.854,-2.89
2020-04-29,10-Q,47.726,48.091,0.76,46.875,-1.78
2020-02-07,10-K,54.514,54.802,0.53,55.462,1.74
2019-10-30,10-Q,48.104,48.492,0.81,48.279,0.37
2019-07-31,10-Q,49.2,49.329,0.26,49.136,-0.13
2019-05-01,10-Q,47.272,47.125,-0.31,46.695,-1.22
2019-02-08,10-K,42.708,43.209,1.17,43.855,2.69
2018-10-30,10-Q,38.107,37.981,-0.33,39.311,3.16
2018-07-26,10-Q,38.912,38.58,-0.86,38.813,-0.25
2018-05-02,10-Q,33.891,33.605,-0.84,34.678,2.32
2018-02-09,10-K,37.49,37.837,0.93,39.269,4.75
2017-10-31,10-Q,36.671,36.529,-0.39,36.476,-0.53
2017-08-02,10-Q,38.823,38.215,-1.56,38.268,-1.43
2017-05-03,10-Q,39.47,39.488,0.04,38.786,-1.73
2017-02-24,10-K,39.604,38.199,-3.55,38.164,-3.64
2016-10-26,10-Q,38.516,38.151,-0.95,38.229,-0.74
2016-07-27,10-Q,38.017,38.225,0.55,37.29,-1.91
2016-04-28,10-Q,37.379,37.017,-0.97,37.844,1.24
2016-02-19,10-K,34.155,34.06,-0.28,34.91,2.21
2015-10-29,10-Q,39.556,39.453,-0.26,39.214,-0.86
2015-07-31,10-Q,38.42,38.726,0.8,39.254,2.17
2015-04-30,10-Q,32.545,32.783,0.73,33.063,1.59
2015-02-20,10-K,31.224,31.241,0.05,31.199,-0.08
2014-11-06,10-Q,31.832,31.764,-0.21,32.16,1.03
2014-08-08,10-Q,29.718,29.952,0.79,29.969,0.85
2014-05-08,10-Q,31.533,31.675,0.45,31.074,-1.46
2014-03-03,10-K,28.088,28.512,1.51,29.152,3.79
2013-11-07,10-Q,26.56,27.048,1.84,28.273,6.45
