Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,82.239,83.448,1.47,87.333,6.19
2022-08-05,10-Q,83.894,83.796,-0.12,89.28,6.42
2022-05-04,10-Q,84.157,81.957,-2.61,76.12,-9.55
2022-02-24,10-K,87.832,90.453,2.98,83.977,-4.39
2021-11-03,10-Q,97.485,94.805,-2.75,92.886,-4.72
2021-08-02,10-Q,90.795,91.144,0.38,95.05,4.69
2021-05-03,10-Q,77.236,77.404,0.22,80.992,4.86
2021-02-26,10-K,71.695,73.831,2.98,75.426,5.2
2020-11-03,10-Q,47.491,47.723,0.49,51.731,8.93
2020-08-04,10-Q,45.373,45.842,1.04,47.694,5.12
2020-05-05,10-Q,34.741,34.119,-1.79,35.143,1.16
2020-02-27,10-K,41.175,40.83,-0.84,38.618,-6.21
2019-11-05,10-Q,43.915,43.744,-0.39,44.149,0.53
2019-08-05,10-Q,36.202,36.854,1.8,36.086,-0.32
2019-05-03,10-Q,42.638,42.327,-0.73,41.112,-3.58
2019-02-26,10-K,37.389,37.522,0.35,36.94,-1.2
2018-11-05,10-Q,40.11,40.023,-0.22,38.631,-3.69
2018-08-03,10-Q,43.392,43.462,0.16,42.071,-3.05
2018-05-04,10-Q,44.425,45.281,1.93,47.71,7.39
2018-02-27,10-K,48.789,48.187,-1.23,48.651,-0.28
2017-11-03,10-Q,42.838,42.941,0.24,41.759,-2.52
2017-08-03,10-Q,40.277,40.976,1.74,39.459,-2.03
2017-05-04,10-Q,36.69,36.52,-0.46,36.342,-0.95
2017-02-27,10-K,38.685,38.541,-0.37,39.301,1.59
2016-11-02,10-Q,27.655,27.563,-0.33,30.679,10.94
2016-08-03,10-Q,23.733,23.616,-0.49,24.309,2.43
2016-05-04,10-Q,21.795,21.704,-0.42,21.862,0.3
2016-02-23,10-K,19.557,19.557,0.0,21.52,10.04
2015-11-03,10-Q,27.297,27.387,0.33,28.896,5.86
2015-08-04,10-Q,31.765,31.831,0.21,30.949,-2.57
2015-05-04,10-Q,30.823,30.449,-1.21,31.099,0.9
2015-03-02,10-K,29.346,29.006,-1.16,28.884,-1.57
2014-11-04,10-Q,27.985,28.179,0.69,28.898,3.26
2014-08-05,10-Q,25.287,25.408,0.48,25.77,1.91
2014-05-06,10-Q,23.646,23.838,0.81,24.344,2.95
2014-02-25,10-K,23.768,23.952,0.77,24.88,4.68
2013-11-04,10-Q,23.433,23.154,-1.19,24.032,2.56
