Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-01,10-Q,302.433,278.23,-8.0,281.857,-6.8
2022-08-04,10-Q,323.06,323.676,0.19,338.57,4.8
2022-05-03,10-Q,333.035,331.319,-0.52,291.393,-12.5
2022-02-22,10-K,317.614,327.883,3.23,333.013,4.85
2021-11-01,10-Q,305.918,311.518,1.83,298.373,-2.47
2021-08-03,10-Q,283.791,280.977,-0.99,285.093,0.46
2021-04-28,10-Q,248.776,254.466,2.29,250.041,0.51
2021-02-24,10-K,219.079,219.756,0.31,208.459,-4.85
2020-11-04,10-Q,210.511,206.395,-1.96,211.012,0.24
2020-08-05,10-Q,174.651,173.862,-0.45,175.901,0.72
2020-04-30,10-Q,162.758,161.801,-0.59,161.055,-1.05
2020-02-25,10-K,191.928,198.315,3.33,189.183,-1.43
2019-10-30,10-Q,192.148,191.804,-0.18,184.6,-3.93
2019-07-30,10-Q,207.55,207.259,-0.14,213.509,2.87
2019-05-01,10-Q,187.988,192.095,2.18,188.242,0.14
2019-02-27,10-K,175.866,177.444,0.9,178.887,1.72
2018-10-30,10-Q,172.643,170.781,-1.08,168.562,-2.36
2018-08-01,10-Q,179.056,173.071,-3.34,178.842,-0.12
2018-05-03,10-Q,167.965,169.172,0.72,172.81,2.88
2018-03-01,10-K,158.367,157.47,-0.57,161.354,1.89
2017-11-01,10-Q,165.197,166.645,0.88,170.533,3.23
2017-07-31,10-Q,162.896,160.725,-1.33,159.338,-2.18
2017-05-04,10-Q,162.943,163.43,0.3,163.603,0.4
2017-03-01,10-K,178.337,176.502,-1.03,174.053,-2.4
2016-11-03,10-Q,157.007,158.301,0.82,165.467,5.39
2016-08-05,10-Q,177.876,176.149,-0.97,175.896,-1.11
2016-05-06,10-Q,199.724,200.839,0.56,198.647,-0.54
2016-02-29,10-K,187.989,192.065,2.17,188.803,0.43
2015-11-05,10-Q,173.651,169.948,-2.13,170.906,-1.58
2015-08-05,10-Q,152.541,153.921,0.9,156.176,2.38
2015-05-06,10-Q,137.726,140.997,2.38,142.041,3.13
2015-02-25,10-K,144.655,143.546,-0.77,142.393,-1.56
2014-11-04,10-Q,135.144,135.433,0.21,135.65,0.38
2014-08-05,10-Q,122.894,124.101,0.98,124.848,1.59
2014-05-05,10-Q,122.469,121.706,-0.62,122.426,-0.03
2014-02-26,10-K,118.042,117.639,-0.34,120.91,2.43
2013-11-06,10-Q,115.266,112.83,-2.11,112.179,-2.68
2013-08-05,10-Q,112.624,112.617,-0.01,112.416,-0.18
2013-05-10,10-Q,113.148,113.892,0.66,115.339,1.94
2013-02-26,10-K,103.239,103.718,0.46,105.179,1.88
2012-11-09,10-Q,98.754,98.47,-0.29,97.507,-1.26
2012-08-06,10-Q,98.425,97.9,-0.53,96.723,-1.73
2012-05-07,10-Q,93.907,93.867,-0.04,91.404,-2.67
2012-02-27,10-K,89.755,89.358,-0.44,88.345,-1.57
2011-11-07,10-Q,82.445,83.26,0.99,80.816,-1.98
2011-08-08,10-Q,66.525,73.499,10.48,78.094,17.39
2011-05-09,10-Q,76.024,77.459,1.89,75.565,-0.6
2011-03-01,10-K,70.456,69.975,-0.68,72.227,2.51
2010-11-08,10-Q,66.28,64.434,-2.78,63.384,-4.37
2010-08-09,10-Q,63.911,63.488,-0.66,62.174,-2.72
2010-05-10,10-Q,61.596,61.252,-0.56,58.886,-4.4
2010-03-01,10-K,52.573,52.896,0.61,54.412,3.5
2009-11-09,10-Q,48.822,48.545,-0.57,50.068,2.55
2009-08-10,10-Q,46.266,44.485,-3.85,41.37,-10.58
2009-05-11,10-Q,38.198,39.03,2.18,40.074,4.91
2009-03-02,10-K,30.226,30.082,-0.48,30.226,0.0
2008-11-10,10-Q,42.779,41.714,-2.49,37.844,-11.54
2008-08-11,10-Q,51.903,50.833,-2.06,51.744,-0.31
2008-05-12,10-Q,50.833,52.305,2.9,51.791,1.88
2008-02-29,10-K,47.224,47.961,1.56,45.808,-3.0
2007-11-09,10-Q,43.313,43.959,1.49,43.376,0.15
2007-08-09,10-Q,43.451,41.015,-5.6,41.72,-3.98
2023-02-21,10-K,295.804,289.272,-2.21,295.853,0.02
