Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-09,10-Q,102.149,104.259,2.07,106.602,4.36
2022-07-29,10-Q,86.392,84.926,-1.7,81.306,-5.89
2022-04-29,10-Q,83.361,85.686,2.79,92.585,11.07
2022-02-18,10-K,81.737,80.805,-1.14,80.939,-0.98
2021-10-29,10-Q,70.262,73.419,4.49,73.071,4.0
2021-08-03,10-Q,70.579,66.468,-5.82,68.871,-2.42
2021-04-30,10-Q,74.275,77.057,3.74,78.985,6.34
2021-02-24,10-K,80.095,77.699,-2.99,76.965,-3.91
2020-10-30,10-Q,41.704,42.865,2.79,41.721,0.04
2020-07-31,10-Q,54.648,53.855,-1.45,55.397,1.37
2020-05-01,10-Q,57.739,63.934,10.73,67.049,16.12
2020-02-21,10-K,77.655,75.315,-3.01,65.135,-16.12
2019-10-25,10-Q,97.821,100.24,2.47,101.223,3.48
2019-07-26,10-Q,86.68,87.095,0.48,84.308,-2.74
2019-04-30,10-Q,79.046,77.009,-2.58,72.573,-8.19
2019-02-22,10-K,81.637,81.578,-0.07,81.738,0.12
2018-10-26,10-Q,82.005,81.238,-0.94,81.642,-0.44
2018-07-27,10-Q,97.273,100.025,2.83,99.624,2.42
2018-04-27,10-Q,90.574,90.55,-0.03,94.048,3.84
2018-02-23,10-K,74.703,75.264,0.75,74.329,-0.5
2017-10-27,10-Q,73.707,72.93,-1.05,74.981,1.73
2017-08-01,10-Q,68.037,68.863,1.21,67.552,-0.71
2017-05-05,10-Q,62.496,62.725,0.37,62.843,0.55
2017-02-17,10-K,61.953,62.244,0.47,62.111,0.25
2016-10-28,10-Q,62.141,62.932,1.27,60.955,-1.91
2016-07-29,10-Q,58.512,57.127,-2.37,60.22,2.92
2016-04-29,10-Q,62.658,62.727,0.11,59.919,-4.37
2016-02-19,10-K,61.117,61.712,0.97,60.361,-1.24
2015-10-30,10-Q,67.038,68.205,1.74,69.824,4.15
2015-07-31,10-Q,59.451,58.838,-1.03,59.541,0.15
2015-05-01,10-Q,60.606,60.034,-0.94,60.621,0.02
2015-02-20,10-K,57.435,58.913,2.57,58.267,1.45
2014-10-30,10-Q,56.705,57.51,1.42,55.254,-2.56
2014-07-31,10-Q,59.063,58.648,-0.7,59.361,0.51
2014-05-01,10-Q,60.837,60.461,-0.62,60.019,-1.34
2014-02-21,10-K,54.25,55.191,1.73,54.185,-0.12
2013-10-31,10-Q,46.113,45.898,-0.47,45.69,-0.92
2013-08-01,10-Q,43.085,41.583,-3.49,42.003,-2.51
2013-05-02,10-Q,42.721,44.053,3.12,44.018,3.03
2013-02-22,10-K,45.421,43.458,-4.32,45.272,-0.33
2012-11-01,10-Q,33.404,32.579,-2.47,34.546,3.42
2012-08-03,10-Q,27.813,28.094,1.01,28.045,0.83
2012-05-16,10-Q,22.385,21.799,-2.62,21.903,-2.15
2023-02-22,10-K,99.47,100.35,0.88,107.24,7.81
