Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-04-26,10-Q,47.78,47.96,0.38,N/A,N/A
2023-01-25,10-K,55.985,57.199,2.17,55.438,-0.98
2022-10-26,10-Q,51.757,51.261,-0.96,50.726,-1.99
2022-07-27,10-Q,35.87,35.258,-1.71,35.09,-2.17
2022-04-27,10-Q,39.301,39.459,0.4,41.908,6.63
2022-01-26,10-K,39.032,38.11,-2.36,38.493,-1.38
2021-10-27,10-Q,31.778,32.52,2.34,32.207,1.35
2021-07-28,10-Q,28.506,28.818,1.09,26.863,-5.76
2021-04-28,10-Q,26.495,26.94,1.68,29.38,10.89
2021-01-27,10-K,21.022,21.822,3.81,23.306,10.87
2020-10-21,10-Q,14.38,14.658,1.93,13.585,-5.53
2020-07-29,10-Q,18.493,17.55,-5.1,18.559,0.36
2020-04-22,10-Q,14.501,15.616,7.69,17.205,18.64
2020-01-22,10-K,34.169,33.936,-0.68,31.421,-8.04
2019-10-23,10-Q,32.459,32.257,-0.62,30.41,-6.31
2019-07-24,10-Q,36.481,36.137,-0.94,36.156,-0.89
2019-04-24,10-Q,39.454,38.616,-2.12,36.895,-6.49
2019-01-23,10-K,38.183,38.403,0.58,39.673,3.9
2018-10-24,10-Q,46.23,46.483,0.55,44.747,-3.21
2018-07-25,10-Q,56.912,57.847,1.64,57.674,1.34
2018-04-25,10-Q,59.352,59.67,0.54,58.974,-0.64
2018-01-24,10-K,66.681,65.956,-1.09,62.757,-5.88
2017-10-25,10-Q,53.69,53.631,-0.11,54.401,1.32
2017-07-26,10-Q,56.248,56.911,1.18,58.045,3.19
2017-04-26,10-Q,61.782,60.724,-1.71,59.631,-3.48
2017-01-25,10-K,70.852,70.33,-0.74,68.913,-2.74
2016-10-26,10-Q,65.913,65.567,-0.52,64.052,-2.82
2016-07-27,10-Q,65.381,64.702,-1.04,65.168,-0.33
2016-04-27,10-Q,65.547,64.88,-1.02,61.587,-6.04
2016-01-27,10-K,52.921,56.118,6.04,57.183,8.05
2015-10-21,10-Q,60.664,62.773,3.48,63.471,4.63
2015-07-22,10-Q,67.938,68.544,0.89,66.847,-1.61
2015-04-22,10-Q,73.032,73.737,0.97,74.712,2.3
2015-01-29,10-K,64.525,64.911,0.6,67.692,4.91
2014-10-22,10-Q,75.274,77.054,2.36,76.387,1.48
2014-07-23,10-Q,87.596,88.369,0.88,86.158,-1.64
2014-04-23,10-Q,79.553,79.234,-0.4,79.04,-0.65
2014-01-31,10-K,67.856,66.818,-1.53,69.352,2.2
2013-10-23,10-Q,71.685,71.693,0.01,72.488,1.12
2013-07-24,10-Q,63.726,63.511,-0.34,62.557,-1.83
2013-04-24,10-Q,56.04,56.246,0.37,56.514,0.85
2013-01-31,10-K,59.548,60.807,2.11,59.509,-0.06
2012-10-24,10-Q,53.267,53.761,0.93,52.264,-1.88
2012-07-25,10-Q,51.677,53.994,4.48,54.274,5.03
2012-04-25,10-Q,56.148,55.99,-0.28,55.929,-0.39
2012-02-01,10-K,57.198,58.092,1.56,58.918,3.01
2011-10-26,10-Q,52.289,56.729,8.49,54.46,4.15
2011-07-27,10-Q,68.419,68.21,-0.31,65.068,-4.9
2011-04-27,10-Q,66.506,66.305,-0.3,63.091,-5.14
2011-02-04,10-K,66.285,66.656,0.56,67.057,1.16
2010-10-29,10-Q,51.717,51.924,0.4,55.987,8.26
2010-07-29,10-Q,44.091,43.981,-0.25,46.635,5.77
2010-04-28,10-Q,52.165,53.737,3.01,49.439,-5.22
2010-02-05,10-K,45.442,45.486,0.1,47.235,3.95
2009-10-28,10-Q,45.444,47.291,4.06,46.926,3.26
2009-07-29,10-Q,38.167,38.85,1.79,39.337,3.07
2009-04-29,10-Q,36.244,35.491,-2.08,40.606,12.03
2009-02-11,10-K,30.671,30.253,-1.36,27.92,-8.97
2008-10-22,10-Q,35.706,37.357,4.62,36.524,2.29
2008-07-23,10-Q,72.015,71.106,-1.26,73.355,1.86
2008-04-23,10-Q,74.961,72.867,-2.79,71.873,-4.12
2008-02-13,10-K,60.528,59.972,-0.92,59.979,-0.91
2007-10-24,10-Q,71.78,69.816,-2.74,68.727,-4.25
2007-07-25,10-Q,68.842,67.229,-2.34,67.215,-2.36
2007-04-25,10-Q,53.775,53.541,-0.43,52.421,-2.52
2007-02-16,10-K,44.887,44.185,-1.56,46.212,2.95
