Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,17.661,17.807,0.83,18.312,3.69
2022-08-04,10-Q,17.448,17.525,0.44,17.229,-1.26
2022-05-03,10-Q,18.218,18.802,3.21,18.246,0.16
2022-02-16,10-K,16.799,16.673,-0.75,16.301,-2.97
2021-11-04,10-Q,16.944,17.149,1.21,17.026,0.48
2021-08-05,10-Q,18.608,18.621,0.07,18.661,0.29
2021-05-06,10-Q,21.071,20.908,-0.77,20.941,-0.62
2021-02-25,10-K,18.199,17.729,-2.58,18.383,1.01
2020-11-05,10-Q,17.085,17.041,-0.25,17.662,3.38
2020-08-05,10-Q,18.095,18.089,-0.03,18.295,1.11
2020-05-06,10-Q,17.058,17.117,0.35,16.643,-2.43
2020-02-20,10-K,22.352,22.318,-0.16,20.685,-7.46
2019-11-05,10-Q,22.28,22.325,0.2,22.28,0.0
2019-08-05,10-Q,18.706,18.969,1.4,19.259,2.96
2019-05-06,10-Q,16.749,16.716,-0.2,16.684,-0.39
2019-02-20,10-K,16.54,16.529,-0.06,16.652,0.68
2018-11-02,10-Q,16.009,16.067,0.36,16.099,0.56
2018-08-02,10-Q,16.383,16.599,1.32,16.712,2.01
2018-05-03,10-Q,16.096,16.197,0.63,16.066,-0.19
2018-02-20,10-K,18.186,17.959,-1.25,18.236,0.27
2017-11-03,10-Q,16.185,15.971,-1.32,16.632,2.76
2017-08-03,10-Q,18.3,18.371,0.39,18.257,-0.24
2017-05-04,10-Q,17.861,18.12,1.45,18.064,1.13
2017-02-17,10-K,19.187,19.303,0.6,19.345,0.82
2016-11-03,10-Q,16.686,16.627,-0.35,16.659,-0.16
2016-08-04,10-Q,19.312,19.348,0.19,19.451,0.72
2016-05-05,10-Q,17.112,17.222,0.65,17.469,2.09
2016-02-18,10-K,16.074,15.891,-1.14,16.239,1.03
2015-11-06,10-Q,14.145,14.008,-0.97,13.782,-2.56
2015-08-07,10-Q,14.32,14.559,1.67,14.253,-0.47
2015-05-05,10-Q,13.869,13.729,-1.01,13.845,-0.18
2015-02-20,10-K,13.754,13.662,-0.67,13.948,1.41
2014-11-10,10-Q,13.912,13.904,-0.06,14.201,2.08
2014-08-01,10-Q,13.754,13.804,0.37,13.419,-2.43
2014-05-02,10-Q,13.636,13.686,0.36,13.946,2.27
2014-02-21,10-K,12.337,12.213,-1.01,12.01,-2.65
2013-11-01,10-Q,13.394,13.471,0.58,12.998,-2.95
2013-08-02,10-Q,12.988,12.952,-0.28,12.636,-2.71
2013-05-03,10-Q,13.333,13.244,-0.67,13.34,0.05
2013-02-22,10-K,12.541,12.368,-1.37,12.657,0.92
2012-11-02,10-Q,12.07,12.036,-0.29,11.59,-3.98
2012-08-03,10-Q,12.789,12.799,0.08,12.758,-0.24
2012-05-04,10-Q,11.0,11.047,0.43,11.245,2.22
2012-02-24,10-K,9.969,9.976,0.07,10.143,1.75
2011-11-03,10-Q,9.488,9.398,-0.95,9.398,-0.95
2011-08-05,10-Q,9.136,8.748,-4.25,8.912,-2.45
2011-05-06,10-Q,9.694,9.722,0.29,9.741,0.48
2011-03-01,10-K,8.547,8.574,0.32,8.659,1.32
2010-11-05,10-Q,8.74,8.713,-0.31,8.498,-2.77
2010-08-06,10-Q,7.775,7.868,1.21,7.827,0.68
2010-05-06,10-Q,7.197,7.185,-0.16,7.368,2.39
