Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-12-01,10-Q,152.17,152.021,-0.1,148.173,-2.63
2022-09-02,10-Q,131.96,131.305,-0.5,136.99,3.81
2022-06-03,10-Q,123.801,123.356,-0.36,120.224,-2.89
2022-03-18,10-K,143.156,141.965,-0.83,141.197,-1.37
2021-12-01,10-Q,133.927,132.296,-1.22,133.937,0.01
2021-09-02,10-Q,145.08,145.754,0.46,142.472,-1.8
2021-06-04,10-Q,138.019,137.095,-0.67,136.949,-0.78
2021-03-19,10-K,127.681,128.291,0.48,130.966,2.57
2020-12-02,10-Q,144.746,143.573,-0.81,142.583,-1.49
2020-09-02,10-Q,142.015,138.996,-2.13,131.562,-7.36
2020-06-03,10-Q,118.248,116.945,-1.1,116.035,-1.87
2020-03-20,10-K,108.672,108.967,0.27,104.486,-3.85
2019-12-04,10-Q,112.17,112.645,0.42,112.968,0.71
2019-09-06,10-Q,108.428,109.94,1.39,110.98,2.35
2019-06-07,10-Q,99.743,101.116,1.38,102.574,2.84
2019-03-28,10-K,90.862,91.237,0.41,91.779,1.01
2018-11-30,10-Q,90.367,91.385,1.13,87.408,-3.27
2018-09-06,10-Q,89.256,88.683,-0.64,88.026,-1.38
2018-06-04,10-Q,78.593,77.856,-0.94,77.562,-1.31
2018-03-30,10-K,78.219,79.362,1.46,78.887,0.85
2017-12-01,10-Q,88.017,87.709,-0.35,87.754,-0.3
2017-08-31,10-Q,70.585,70.856,0.38,71.318,1.04
2017-06-02,10-Q,71.537,72.112,0.8,71.357,-0.25
2017-03-31,10-K,64.332,64.109,-0.35,65.064,1.14
2016-12-01,10-Q,62.168,62.353,0.3,62.32,0.25
2016-08-31,10-Q,62.845,64.077,1.96,63.188,0.55
2016-06-03,10-Q,61.92,62.077,0.25,62.156,0.38
2016-03-30,10-K,59.674,59.406,-0.45,59.883,0.35
2015-12-02,10-Q,50.239,50.833,1.18,50.91,1.34
2015-09-09,10-Q,55.602,54.748,-1.54,55.235,-0.66
2015-06-05,10-Q,61.958,61.577,-0.62,61.424,-0.86
2015-04-01,10-K,68.016,68.033,0.02,68.126,0.16
2014-12-01,10-Q,71.825,71.975,0.21,70.559,-1.76
2014-09-05,10-Q,64.569,63.753,-1.26,63.119,-2.24
2014-06-06,10-Q,63.898,63.733,-0.26,62.301,-2.5
2014-03-21,10-K,62.592,63.135,0.87,62.518,-0.12
2013-12-06,10-Q,65.329,65.337,0.01,63.809,-2.33
2013-09-05,10-Q,59.044,58.979,-0.11,60.051,1.71
2013-06-07,10-Q,61.643,61.175,-0.76,60.464,-1.91
2013-03-26,10-K,60.024,60.032,0.01,61.011,1.65
2012-12-04,10-Q,57.208,57.15,-0.1,56.544,-1.16
2012-09-06,10-Q,59.341,58.556,-1.32,59.603,0.44
2012-06-01,10-Q,51.716,52.064,0.67,53.823,4.07
2012-03-27,10-K,47.873,47.951,0.16,47.528,-0.72
2011-12-08,10-Q,45.134,45.398,0.59,45.11,-0.05
2011-09-01,10-Q,40.73,40.25,-1.18,39.732,-2.45
2011-06-03,10-Q,41.213,41.29,0.19,40.491,-1.75
2011-03-30,10-K,39.95,39.714,-0.59,40.423,1.18
2010-12-06,10-Q,41.059,41.511,1.1,41.074,0.04
2010-09-01,10-Q,38.58,39.002,1.09,39.115,1.39
2010-06-04,10-Q,37.757,38.012,0.67,38.101,0.91
2010-03-30,10-K,41.643,41.412,-0.55,41.174,-1.13
2009-12-08,10-Q,40.096,40.047,-0.12,39.98,-0.29
2009-09-09,10-Q,37.664,37.605,-0.16,36.876,-2.09
2009-06-05,10-Q,37.43,37.239,-0.51,36.528,-2.41
2009-04-01,10-K,38.505,39.102,1.55,38.351,-0.4
2008-12-09,10-Q,40.282,39.877,-1.0,40.043,-0.59
2008-09-04,10-Q,43.147,43.84,1.61,45.594,5.67
2008-06-09,10-Q,42.823,42.974,0.35,42.636,-0.44
2008-03-31,10-K,37.711,38.713,2.66,38.82,2.94
2007-11-29,10-Q,33.718,33.973,0.76,34.945,3.64
2007-09-10,10-Q,29.98,30.455,1.59,30.725,2.48
2007-06-01,10-Q,34.911,36.139,3.52,35.341,1.23
2007-03-27,10-K,33.359,32.762,-1.79,33.787,1.28
2006-11-30,10-Q,32.109,31.949,-0.5,32.297,0.59
2006-08-30,10-Q,31.079,31.148,0.22,31.719,2.06
2006-06-02,10-Q,33.189,32.745,-1.34,32.703,-1.46
2006-03-29,10-K,33.225,32.955,-0.81,32.409,-2.46
2005-12-02,10-Q,32.947,32.377,-1.73,33.023,0.23
2005-08-31,10-Q,30.88,30.907,0.09,31.498,2.0
2005-06-03,10-Q,32.419,32.679,0.8,32.85,1.33
2005-03-31,10-K,34.199,33.434,-2.24,33.373,-2.41
2004-12-03,10-Q,35.93,35.651,-0.77,35.78,-0.42
2004-09-03,10-Q,36.147,36.174,0.08,36.215,0.19
2004-06-04,10-Q,38.323,38.94,1.61,38.181,-0.37
2004-04-09,10-K,38.74,38.152,-1.52,39.436,1.8
2003-12-11,10-Q,35.537,35.328,-0.59,35.458,-0.22
2003-09-10,10-Q,38.195,38.632,1.14,38.692,1.3
2003-06-09,10-Q,36.08,36.731,1.8,37.06,2.71
2003-04-15,10-K,37.086,36.583,-1.36,37.549,1.25
